contrast,reference,treatment,profile,n_scenarios,question,ref_mean_weighted_service_hours_lost,trt_mean_weighted_service_hours_lost,diff_weighted_service_hours_lost,diff_weighted_service_hours_lost_lo,diff_weighted_service_hours_lost_hi,ref_mean_sustained_clinical_outage_k4,trt_mean_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4_lo,diff_sustained_clinical_outage_k4_hi,ref_mean_sustained_clinical_outage_k1,trt_mean_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1_lo,diff_sustained_clinical_outage_k1_hi,ref_mean_ever_compromised_fraction,trt_mean_ever_compromised_fraction,diff_ever_compromised_fraction,diff_ever_compromised_fraction_lo,diff_ever_compromised_fraction_hi,share_worse,share_better
method_vs_prior_art,zone,dcci3,intermediate_capacity,500,Does the method beat the closest prior art?,149.14578333333333,21.269883333333333,-127.87589999999999,-135.90861458333333,-119.77672291666667,0.748,0.14,-0.608,-0.652,-0.5679500000000002,0.798,0.378,-0.42,-0.464,-0.376,0.42934690931682096,0.04210027012138409,-0.38724663919543684,-0.41058003721815983,-0.3635511124584371,0.012,0.792
method_vs_prior_art,zone,dcci3,resource_constrained,500,Does the method beat the closest prior art?,323.51831666666664,214.93621666666667,-108.58209999999998,-116.8352,-100.89739499999999,0.958,0.84,-0.118,-0.146,-0.092,0.962,0.906,-0.056,-0.078,-0.036,0.8739226738249957,0.5056743016687789,-0.36824837215621675,-0.3847924750404561,-0.3523283237687037,0.022,0.946
disconnection_alone,none,crude3,pooled,1500,Is severing without replicas protective?,171.91198333333332,119.40188333333334,-52.510099999999994,-55.668549444444444,-49.334822777777774,0.6026666666666667,0.6333333333333333,0.030666666666666665,0.017333333333333333,0.04466666666666667,0.6726666666666666,0.7053333333333334,0.03266666666666666,0.01931666666666667,0.04666666666666667,0.5110618106968812,0.1853557895417488,-0.3257060211551323,-0.3358367734507899,-0.31530154115459236,0.45866666666666667,0.5393333333333333
disconnection_alone,none,crude3,high_capacity,500,Is severing without replicas protective?,15.772633333333333,19.504033333333332,3.731399999999999,3.2006524999999995,4.286108333333331,0.056,0.178,0.122,0.088,0.154,0.232,0.344,0.112,0.08,0.144,0.014252164809952677,0.008292796835083386,-0.005959367974869293,-0.007395771624233319,-0.004725472502892799,0.94,0.06
disconnection_alone,none,crude3,intermediate_capacity,500,Is severing without replicas protective?,177.26833333333332,61.925533333333334,-115.34279999999998,-123.17606499999998,-108.1522825,0.786,0.768,-0.018,-0.044,0.008,0.816,0.812,-0.004,-0.03,0.022,0.5747202750314259,0.04210027012138409,-0.5326200049100419,-0.5593431132727461,-0.5076510147194718,0.22,0.78
disconnection_alone,none,crude3,resource_constrained,500,Is severing without replicas protective?,322.69498333333325,276.7760833333333,-45.918899999999994,-52.155685,-40.27563541666667,0.966,0.954,-0.012,-0.022,-0.004,0.97,0.96,-0.01,-0.02,-0.002,0.9442129922492647,0.5056743016687789,-0.43853869058048595,-0.45530366697255925,-0.4214965435064273,0.216,0.778
dependency_closure,crude3,dcci3,pooled,1500,What does dependency closure add to the same cuts?,119.40188333333334,83.59567777777778,-35.80620555555555,-38.03336472222222,-33.55877083333334,0.6333333333333333,0.3273333333333333,-0.306,-0.326,-0.286,0.7053333333333334,0.49066666666666664,-0.21466666666666667,-0.234,-0.19533333333333333,0.1853557895417488,0.1853557895417488,0.0,0.0,0.0,0.025333333333333333,0.974
dependency_closure,crude3,dcci3,high_capacity,500,What does dependency closure add to the same cuts?,19.504033333333332,14.580933333333332,-4.923099999999999,-5.476613333333333,-4.405670416666665,0.178,0.002,-0.176,-0.21,-0.144,0.344,0.188,-0.156,-0.188,-0.126,0.008292796835083386,0.008292796835083386,0.0,0.0,0.0,0.0,1.0
dependency_closure,crude3,dcci3,intermediate_capacity,500,What does dependency closure add to the same cuts?,61.925533333333334,21.269883333333333,-40.655649999999994,-43.832608333333326,-37.71471083333333,0.768,0.14,-0.628,-0.672,-0.588,0.812,0.378,-0.434,-0.48,-0.392,0.04210027012138409,0.04210027012138409,0.0,0.0,0.0,0.0,1.0
dependency_closure,crude3,dcci3,resource_constrained,500,What does dependency closure add to the same cuts?,276.7760833333333,214.93621666666667,-61.839866666666666,-67.86173125,-56.038197083333344,0.954,0.84,-0.114,-0.144,-0.088,0.96,0.906,-0.054,-0.076,-0.036,0.5056743016687789,0.5056743016687789,0.0,0.0,0.0,0.076,0.922
two_islands,none,dcci2,pooled,1500,Two islands at theta = 0.60.,171.91198333333332,121.52048888888889,-50.39149444444445,-53.41610027777777,-47.5117736111111,0.6026666666666667,0.46066666666666667,-0.142,-0.15735,-0.12598333333333342,0.6726666666666666,0.5833333333333334,-0.08933333333333333,-0.10335,-0.07598333333333342,0.5110618106968812,0.2652050362218644,-0.24585677447501675,-0.2555447233529249,-0.23650928993526296,0.11266666666666666,0.5526666666666666
two_islands,none,dcci2,high_capacity,500,Two islands at theta = 0.60.,15.772633333333333,15.215916666666669,-0.5567166666666669,-0.8804924999999999,-0.2669441666666667,0.056,0.02,-0.036,-0.052,-0.02,0.232,0.212,-0.02,-0.038,-0.004,0.014252164809952677,0.008667787641396562,-0.005584377168556115,-0.0069284648239159126,-0.004369427144117703,0.148,0.086
two_islands,none,dcci2,intermediate_capacity,500,Two islands at theta = 0.60.,177.26833333333332,49.95625,-127.31208333333335,-135.0620320833333,-119.48757583333332,0.786,0.418,-0.368,-0.40804999999999997,-0.3259500000000003,0.816,0.59,-0.226,-0.264,-0.19,0.5747202750314259,0.07844617662979965,-0.49627409840162623,-0.5215062227297974,-0.4699816510042402,0.036,0.784
two_islands,none,dcci2,resource_constrained,500,Two islands at theta = 0.60.,322.69498333333325,299.38929999999993,-23.30568333333333,-28.117105833333326,-18.653412916666664,0.966,0.944,-0.022,-0.034,-0.01,0.97,0.948,-0.022,-0.034,-0.01,0.9442129922492647,0.708501144394397,-0.23571184785486776,-0.24957487743539922,-0.22238357810365827,0.154,0.788
four_islands,none,dcci4,pooled,1500,Four islands at theta = 0.60.,171.91198333333332,68.1447611111111,-103.76722222222222,-107.82370069444444,-99.916115,0.6026666666666667,0.316,-0.2866666666666667,-0.30533333333333335,-0.2673333333333333,0.6726666666666666,0.4706666666666667,-0.202,-0.22,-0.18398333333333342,0.5110618106968812,0.1313914714551463,-0.3796703392417348,-0.390659743353839,-0.3688975349153205,0.018,0.6553333333333333
four_islands,none,dcci4,high_capacity,500,Four islands at theta = 0.60.,15.772633333333333,14.45985,-1.3127833333333334,-1.7508800000000002,-0.9092020833333335,0.056,0.006,-0.05,-0.068,-0.032,0.232,0.184,-0.048,-0.066,-0.03,0.014252164809952677,0.00799407218706144,-0.006258092622891238,-0.007619426988320065,-0.004886321518276051,0.042,0.19
four_islands,none,dcci4,intermediate_capacity,500,Four islands at theta = 0.60.,177.26833333333332,19.23136666666667,-158.03696666666664,-165.97074166666664,-149.69725375000002,0.786,0.152,-0.634,-0.676,-0.592,0.816,0.344,-0.472,-0.516,-0.428,0.5747202750314259,0.03425136213408412,-0.5404689128973419,-0.5673314896560819,-0.5133015180637308,0.008,0.81
four_islands,none,dcci4,resource_constrained,500,Four islands at theta = 0.60.,322.69498333333325,170.74306666666666,-151.95191666666665,-160.4151654166667,-143.646495,0.966,0.79,-0.176,-0.21,-0.144,0.97,0.884,-0.086,-0.11,-0.064,0.9442129922492647,0.35192898004429335,-0.5922840122049715,-0.6103470416355123,-0.5750180218410222,0.004,0.966
three_vs_two,dcci2,dcci3,pooled,1500,Third island at theta = 0.60.,121.52048888888889,83.59567777777778,-37.92481111111111,-40.53169083333333,-35.35474875,0.46066666666666667,0.3273333333333333,-0.13333333333333333,-0.14933333333333335,-0.11866666666666667,0.5833333333333334,0.49066666666666664,-0.09266666666666666,-0.10866666666666666,-0.078,0.2652050362218644,0.1853557895417488,-0.07984924668011566,-0.08444796227789261,-0.07522692394691287,0.048,0.6153333333333333
three_vs_two,dcci2,dcci3,high_capacity,500,Third island at theta = 0.60.,15.215916666666669,14.580933333333332,-0.6349833333333332,-0.8378354166666665,-0.45447374999999995,0.02,0.002,-0.018,-0.03,-0.008,0.212,0.188,-0.024,-0.038,-0.01,0.008667787641396562,0.008292796835083386,-0.00037499080631317797,-0.000663726662022673,-0.00011379414698818873,0.026,0.256
three_vs_two,dcci2,dcci3,intermediate_capacity,500,Third island at theta = 0.60.,49.95625,21.269883333333333,-28.68636666666666,-32.10813041666666,-25.2257625,0.418,0.14,-0.278,-0.31605,-0.24,0.59,0.378,-0.212,-0.25,-0.174,0.07844617662979965,0.04210027012138409,-0.036345906508415564,-0.04183004505108917,-0.031064693361108904,0.046,0.702
three_vs_two,dcci2,dcci3,resource_constrained,500,Third island at theta = 0.60.,299.38929999999993,214.93621666666667,-84.45308333333332,-91.45243666666667,-77.50294791666668,0.944,0.84,-0.104,-0.132,-0.078,0.948,0.906,-0.042,-0.062,-0.022,0.708501144394397,0.5056743016687789,-0.20282684272561824,-0.21532168053255263,-0.19093762186117133,0.072,0.888
four_vs_three,dcci3,dcci4,pooled,1500,Fourth island at theta = 0.60.,83.59567777777778,68.1447611111111,-15.450916666666664,-17.70871625,-13.33761388888889,0.3273333333333333,0.316,-0.011333333333333334,-0.024666666666666667,0.002,0.49066666666666664,0.4706666666666667,-0.02,-0.03333333333333333,-0.006666666666666667,0.1853557895417488,0.1313914714551463,-0.05396431808660249,-0.057769678716676265,-0.050466079538260745,0.17866666666666667,0.406
four_vs_three,dcci3,dcci4,high_capacity,500,Fourth island at theta = 0.60.,14.580933333333332,14.45985,-0.12108333333333332,-0.34797708333333327,0.03961083333333326,0.002,0.006,0.004,0.0,0.01,0.188,0.184,-0.004,-0.014,0.006,0.008292796835083386,0.00799407218706144,-0.00029872464802194545,-0.0005058642944126002,-9.936673381425819e-05,0.064,0.09
