trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,base_spread_rate,patch_effectiveness,intra_zone_degree,cross_zone_out_degree,identity_breach_multiplier,restore_rate_fraction,no_backup_restore_penalty,service_functional_fraction,false_positive_rate,legacy_fraction,detection_delay_steps,isolated_backup_traversal,source_step_minutes,simulation_step_minutes,setting_id
920016009,92001604,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,225,226,1565,basic,0.5,0.4425,36,0.680660561,isolated,0,1,864,5,205,0.907079646,0.907079646,205,10,204,729,1,1,785,834,808,841,841,785,651,7,5545,350.1333333,0.9422998366,0.9422998366,1,72,-1,0,1,1,1,0,0,1,1,0.7142857143,0.7142857143,0.7142857143,56,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016010,92001605,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,baseline_flat,workstation,5,256,3138,flat,0.5,0.4883,73,0.680660561,connected,0,0,864,5,254,0.9921875,0.9921875,254,10,288,611,1,1,694,724,697,780,849,670,747,7,5161,319.775,0.8328227124,0.8328227124,1,24,791,1,1,1,1,1,0,1,1,0.8571428571,0.8571428571,0.8571428571,77,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016011,92001605,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,5,256,1856,basic,0.5,0.4883,36,0.680660561,isolated,0,1,864,5,246,0.9609375,0.9609375,246,10,252,473,1,1,550,580,553,627,742,526,559,7,4137,254.6833333,0.6640114379,0.6640114379,1,72,738,1,1,1,1,1,1,1,1,1,1,1,75,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016012,92001606,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,268,277,3278,flat,0.5,0.4368,73,0.680660561,connected,0,0,864,5,273,0.9855595668,0.9855595668,273,10,297,-1,1,1,854,855,855,854,854,854,853,7,5979,377.275,0.9890046296,0.9890046296,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,79,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016013,92001606,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,268,277,1985,basic,0.5,0.4368,36,0.680660561,isolated,0,1,864,5,257,0.9277978339,0.9277978339,257,10,260,362,1,1,395,446,418,488,601,395,430,7,3173,193.625,0.5002723312,0.5002723312,1,120,527,1,1,1,1,1,1,1,1,1,1,1,75,0,855,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016014,92001607,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,207,248,2956,flat,0.5,0.4435,73,0.680660561,connected,0,0,864,5,247,0.9959677419,0.9959677419,247,10,269,602,1,1,670,721,694,769,856,670,739,7,5119,316.5416667,0.8202954793,0.8202954793,1,0,777,1,1,1,1,1,0,1,1,0.8571428571,0.8571428571,0.8571428571,72,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016015,92001607,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,207,248,1773,basic,0.5,0.4435,36,0.680660561,isolated,0,1,864,5,233,0.939516129,0.939516129,233,10,238,430,1,1,489,538,513,578,692,489,535,7,3834,235.3,0.6078771786,0.6078771786,1,72,596,1,1,1,1,1,1,1,1,1,1,1,68,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016016,92001608,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,195,246,2885,flat,0.5,0.4797,73,0.680660561,connected,0,0,864,5,244,0.9918699187,0.9918699187,244,10,267,479,1,1,549,600,572,647,760,549,617,7,4294,263.75,0.6797045207,0.6797045207,1,48,653,1,1,1,1,1,1,1,1,1,1,1,72,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016017,92001608,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,195,246,1744,basic,0.5,0.4797,36,0.680660561,isolated,0,1,864,5,225,0.9146341463,0.9146341463,225,10,228,521,1,1,522,591,546,616,725,522,537,7,4059,249.95,0.652709695,0.652709695,1,120,691,1,1,1,1,1,1,1,1,1,1,1,70,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920016018,92001609,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,259,260,3000,flat,0.5,0.3962,73,0.680660561,connected,0,0,864,5,259,0.9961538462,0.9961538462,259,10,283,555,1,1,647,673,643,716,833,623,689,7,4824,297.7166667,0.7711397059,0.7711397059,1,24,722,1,1,1,1,1,1,1,1,1,1,1,73,0,864,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
