trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated
910000492,91000246,1,fine_step_primary,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,198,201,1592,flat,0.5,0.4627,36,0.3306,connected,0,0,864,5,187,0.9303482587,0.9303482587,187,10,192,424,1,1,489,543,516,594,746,489,581,7,3958,240.8916667,0.6139705882,0.6139705882,1,954,615,1,1,1,1,1,1,1,1,1,1,1,57,0,864
910000493,91000246,1,fine_step_primary,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,198,201,1039,basic,0.5,0.4627,18,0.6316,isolated,0,1,864,5,1,0.004975124378,0.004975124378,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1,1,1,1,1,1,1,1,1,1,1,0,1,71
910000494,91000247,1,fine_step_primary,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,0,257,1984,flat,0.5,0.4514,36,0.3306,connected,0,0,864,5,226,0.8793774319,0.8793774319,226,10,231,358,1,1,410,482,454,512,632,410,503,7,3403,207.1833333,0.5319308279,0.5319308279,1,1294,693,1,1,1,1,1,1,1,1,1,1,1,69,0,864
910000495,91000247,1,fine_step_primary,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,0,257,1312,basic,0.5,0.4514,18,0.6316,isolated,0,1,864,5,117,0.4552529183,0.4552529183,117,9,117,232,0,1,216,216,243,224,256,216,0,6,1371,88.425,0.2601783769,0.2601783769,1,1392,257,1,1,1,1,1,1,1,1,1,1,1,0,1,409
910000496,91000248,1,fine_step_primary,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,196,279,2151,flat,0.5,0.4337,36,0.3306,connected,0,0,864,5,249,0.8924731183,0.8924731183,249,10,254,431,1,1,479,531,505,585,701,479,547,7,3827,233.9583333,0.6017837691,0.6017837691,1,1300,611,1,1,1,1,1,1,1,1,1,1,1,75,0,864
910000497,91000248,1,fine_step_primary,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,196,279,1423,basic,0.5,0.4337,18,0.6316,isolated,0,1,864,5,4,0.01433691756,0.01433691756,4,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,0,1,1,1,1,1,1,1,1,1,1,1,0,1,694
910000498,91000249,1,fine_step_primary,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,212,213,1668,flat,0.5,0.5211,36,0.3306,connected,0,0,864,5,184,0.8638497653,0.8638497653,184,10,186,226,1,1,305,356,307,388,507,279,363,7,2505,150.7833333,0.3872889434,0.3872889434,1,2041,837,1,1,1,1,1,1,1,1,1,1,1,58,0,864
910000499,91000249,1,fine_step_primary,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,212,213,1087,basic,0.5,0.5211,18,0.6316,isolated,0,1,864,5,80,0.3755868545,0.3755868545,80,9,80,195,0,1,178,183,178,189,201,176,48,7,1153,73.70833333,0.2100013617,0.2100013617,1,1224,223,1,1,1,1,1,1,1,1,1,1,1,0,1,405
910000500,91000250,1,fine_step_primary,5701001,scale_2,intermediate_posture,baseline_flat,workstation,61,202,1569,flat,0.5,0.4554,36,0.3306,connected,0,0,864,5,1,0.00495049505,0.00495049505,1,1,0,5,0,0,24,48,24,24,24,24,0,6,168,11,0.03431372549,0.03431372549,0,600,102,1,1,1,1,1,1,1,1,1,1,1,0,1,185
910000501,91000250,1,fine_step_primary,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,61,202,1040,basic,0.5,0.4554,18,0.6316,isolated,0,1,864,5,1,0.00495049505,0.00495049505,1,1,0,3,0,0,24,48,24,24,24,24,0,6,168,11,0.03431372549,0.03431372549,0,600,102,1,1,1,1,1,1,1,1,1,1,1,0,1,185
