profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,monotone,0.75,24,13,13
resource_constrained,positive_gaps,0,24,48,41
resource_constrained,positive_gaps,0.1,24,47,40
resource_constrained,positive_gaps,0.25,24,38,34
resource_constrained,positive_gaps,0.5,24,18,18
resource_constrained,positive_gaps,0.75,24,13,13
resource_constrained,monotone,0,25,37,36
resource_constrained,monotone,0.1,25,36,35
resource_constrained,monotone,0.25,25,27,27
resource_constrained,monotone,0.5,25,13,13
resource_constrained,monotone,0.75,25,13,13
resource_constrained,positive_gaps,0,25,37,36
resource_constrained,positive_gaps,0.1,25,36,35
resource_constrained,positive_gaps,0.25,25,29,29
resource_constrained,positive_gaps,0.5,25,15,15
resource_constrained,positive_gaps,0.75,25,14,14
resource_constrained,monotone,0,26,37,35
resource_constrained,monotone,0.1,26,36,34
resource_constrained,monotone,0.25,26,25,25
resource_constrained,monotone,0.5,26,13,13
resource_constrained,monotone,0.75,26,12,12
resource_constrained,positive_gaps,0,26,37,35
resource_constrained,positive_gaps,0.1,26,36,34
resource_constrained,positive_gaps,0.25,26,26,26
resource_constrained,positive_gaps,0.5,26,14,14
resource_constrained,positive_gaps,0.75,26,13,13
resource_constrained,monotone,0,27,40,33
resource_constrained,monotone,0.1,27,39,32
resource_constrained,monotone,0.25,27,29,28
resource_constrained,monotone,0.5,27,17,17
resource_constrained,monotone,0.75,27,14,14
resource_constrained,positive_gaps,0,27,40,33
resource_constrained,positive_gaps,0.1,27,39,32
resource_constrained,positive_gaps,0.25,27,32,30
resource_constrained,positive_gaps,0.5,27,18,18
resource_constrained,positive_gaps,0.75,27,14,14
resource_constrained,monotone,0,28,41,35
resource_constrained,monotone,0.1,28,40,35
resource_constrained,monotone,0.25,28,33,30
resource_constrained,monotone,0.5,28,15,13
resource_constrained,monotone,0.75,28,13,11
resource_constrained,positive_gaps,0,28,41,35
resource_constrained,positive_gaps,0.1,28,41,35
resource_constrained,positive_gaps,0.25,28,35,32
resource_constrained,positive_gaps,0.5,28,16,14
resource_constrained,positive_gaps,0.75,28,13,11
resource_constrained,monotone,0,29,41,38
resource_constrained,monotone,0.1,29,38,36
resource_constrained,monotone,0.25,29,34,32
resource_constrained,monotone,0.5,29,13,13
resource_constrained,monotone,0.75,29,9,9
resource_constrained,positive_gaps,0,29,41,38
resource_constrained,positive_gaps,0.1,29,38,36
resource_constrained,positive_gaps,0.25,29,35,33
resource_constrained,positive_gaps,0.5,29,13,13
resource_constrained,positive_gaps,0.75,29,9,9
resource_constrained,monotone,0,30,40,36
resource_constrained,monotone,0.1,30,39,35
resource_constrained,monotone,0.25,30,29,28
resource_constrained,monotone,0.5,30,13,13
resource_constrained,monotone,0.75,30,12,12
resource_constrained,positive_gaps,0,30,40,36
resource_constrained,positive_gaps,0.1,30,39,35
resource_constrained,positive_gaps,0.25,30,30,29
resource_constrained,positive_gaps,0.5,30,15,14
resource_constrained,positive_gaps,0.75,30,13,12
resource_constrained,monotone,0,31,45,37
resource_constrained,monotone,0.1,31,43,36
resource_constrained,monotone,0.25,31,32,29
resource_constrained,monotone,0.5,31,13,12
resource_constrained,monotone,0.75,31,12,11
resource_constrained,positive_gaps,0,31,45,37
resource_constrained,positive_gaps,0.1,31,43,36
resource_constrained,positive_gaps,0.25,31,35,31
resource_constrained,positive_gaps,0.5,31,15,13
resource_constrained,positive_gaps,0.75,31,13,11
resource_constrained,monotone,0,32,35,32
resource_constrained,monotone,0.1,32,35,32
resource_constrained,monotone,0.25,32,22,20
resource_constrained,monotone,0.5,32,11,11
resource_constrained,monotone,0.75,32,10,10
resource_constrained,positive_gaps,0,32,35,32
resource_constrained,positive_gaps,0.1,32,35,32
resource_constrained,positive_gaps,0.25,32,24,22
resource_constrained,positive_gaps,0.5,32,13,12
resource_constrained,positive_gaps,0.75,32,11,10
resource_constrained,monotone,0,33,41,34
resource_constrained,monotone,0.1,33,39,33
resource_constrained,monotone,0.25,33,27,25
resource_constrained,monotone,0.5,33,12,12
resource_constrained,monotone,0.75,33,10,10
resource_constrained,positive_gaps,0,33,41,34
resource_constrained,positive_gaps,0.1,33,39,33
resource_constrained,positive_gaps,0.25,33,28,26
resource_constrained,positive_gaps,0.5,33,14,14
resource_constrained,positive_gaps,0.75,33,11,11
resource_constrained,monotone,0,34,40,38
resource_constrained,monotone,0.1,34,39,37
resource_constrained,monotone,0.25,34,31,30
resource_constrained,monotone,0.5,34,18,18
resource_constrained,monotone,0.75,34,14,14
resource_constrained,positive_gaps,0,34,40,38
resource_constrained,positive_gaps,0.1,34,39,37
resource_constrained,positive_gaps,0.25,34,32,31
resource_constrained,positive_gaps,0.5,34,19,19
resource_constrained,positive_gaps,0.75,34,14,14
resource_constrained,monotone,0,35,39,36
resource_constrained,monotone,0.1,35,38,35
resource_constrained,monotone,0.25,35,30,29
resource_constrained,monotone,0.5,35,16,16
resource_constrained,monotone,0.75,35,11,11
resource_constrained,positive_gaps,0,35,39,36
resource_constrained,positive_gaps,0.1,35,38,35
resource_constrained,positive_gaps,0.25,35,30,29
resource_constrained,positive_gaps,0.5,35,18,18
resource_constrained,positive_gaps,0.75,35,12,12
resource_constrained,monotone,0,36,53,42
resource_constrained,monotone,0.1,36,52,41
resource_constrained,monotone,0.25,36,37,33
resource_constrained,monotone,0.5,36,15,14
resource_constrained,monotone,0.75,36,12,12
resource_constrained,positive_gaps,0,36,53,42
resource_constrained,positive_gaps,0.1,36,52,41
resource_constrained,positive_gaps,0.25,36,38,34
resource_constrained,positive_gaps,0.5,36,15,14
resource_constrained,positive_gaps,0.75,36,12,12
resource_constrained,monotone,0,37,42,38
resource_constrained,monotone,0.1,37,41,37
resource_constrained,monotone,0.25,37,32,30
resource_constrained,monotone,0.5,37,16,16
resource_constrained,monotone,0.75,37,12,12
resource_constrained,positive_gaps,0,37,42,38
resource_constrained,positive_gaps,0.1,37,41,37
resource_constrained,positive_gaps,0.25,37,34,31
resource_constrained,positive_gaps,0.5,37,18,17
resource_constrained,positive_gaps,0.75,37,13,12
resource_constrained,monotone,0,38,39,36
resource_constrained,monotone,0.1,38,38,35
resource_constrained,monotone,0.25,38,29,29
resource_constrained,monotone,0.5,38,15,15
resource_constrained,monotone,0.75,38,11,11
resource_constrained,positive_gaps,0,38,39,36
resource_constrained,positive_gaps,0.1,38,38,35
resource_constrained,positive_gaps,0.25,38,30,30
resource_constrained,positive_gaps,0.5,38,16,16
resource_constrained,positive_gaps,0.75,38,11,11
resource_constrained,monotone,0,39,50,40
resource_constrained,monotone,0.1,39,48,38
resource_constrained,monotone,0.25,39,38,33
resource_constrained,monotone,0.5,39,15,15
resource_constrained,monotone,0.75,39,12,12
resource_constrained,positive_gaps,0,39,50,40
resource_constrained,positive_gaps,0.1,39,48,38
resource_constrained,positive_gaps,0.25,39,40,34
resource_constrained,positive_gaps,0.5,39,16,15
resource_constrained,positive_gaps,0.75,39,13,12
resource_constrained,monotone,0,40,38,33
resource_constrained,monotone,0.1,40,37,32
