profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
high_capacity,18,12,3,0,0.75,15,13.08197917
resource_constrained,19,71,10,3,0.8243243243,10,207.5997292
intermediate_capacity,19,25,4,1,0.8076923077,43,24.5055625
high_capacity,19,12,3,0,0.75,15,13.08197917
resource_constrained,20,106,42,0,0.6037735849,25,205.5636667
intermediate_capacity,20,35,13,0,0.6285714286,68,24.33625
high_capacity,20,10,1,0,0.9,16,13.06720833
resource_constrained,21,103,39,0,0.6213592233,18,207.5997292
intermediate_capacity,21,31,10,1,0.65625,47,24.93072917
high_capacity,21,12,3,0,0.75,15,13.08197917
resource_constrained,22,65,2,1,0.9545454545,11,207.5997292
intermediate_capacity,22,22,1,1,0.9130434783,50,24.33625
high_capacity,22,9,0,0,1,15,13.08197917
resource_constrained,23,100,39,3,0.5922330097,26,156.9935625
intermediate_capacity,23,31,11,2,0.6060606061,57,21.58458333
high_capacity,23,12,3,0,0.75,16,13.06720833
resource_constrained,24,89,26,1,0.7,20,156.9935625
intermediate_capacity,24,29,7,0,0.7586206897,53,25.49491667
high_capacity,24,9,0,0,1,16,13.06720833
resource_constrained,25,84,24,4,0.6818181818,12,207.5997292
intermediate_capacity,25,32,10,0,0.6875,45,24.33625
high_capacity,25,9,0,0,1,15,13.08197917
resource_constrained,26,81,20,3,0.7261904762,16,156.9935625
intermediate_capacity,26,28,8,2,0.6666666667,48,25.49491667
high_capacity,26,10,1,0,0.9,16,13.06720833
resource_constrained,27,89,29,4,0.6451612903,18,156.9935625
intermediate_capacity,27,35,15,2,0.5405405405,41,26.9125
high_capacity,27,11,2,0,0.8181818182,15,13.08197917
resource_constrained,28,67,11,8,0.7466666667,26,155.6040833
intermediate_capacity,28,29,7,0,0.7586206897,60,19.73402083
high_capacity,28,10,1,0,0.9,16,13.06720833
resource_constrained,29,73,16,7,0.7125,20,207.6623542
intermediate_capacity,29,32,11,1,0.6363636364,45,24.5055625
high_capacity,29,12,3,0,0.75,15,13.08197917
resource_constrained,30,83,26,7,0.6333333333,22,205.5636667
intermediate_capacity,30,29,9,2,0.6451612903,49,24.93072917
high_capacity,30,9,0,0,1,16,13.06720833
resource_constrained,31,94,30,0,0.6808510638,13,207.6623542
intermediate_capacity,31,34,12,0,0.6470588235,53,24.93072917
high_capacity,31,9,1,1,0.8,16,13.06720833
resource_constrained,32,76,14,2,0.7948717949,10,207.5997292
intermediate_capacity,32,25,4,1,0.8076923077,38,24.93072917
high_capacity,32,9,0,0,1,14,13.11922917
resource_constrained,33,93,29,0,0.688172043,23,156.9935625
intermediate_capacity,33,35,14,1,0.5833333333,70,21.05622917
high_capacity,33,12,3,0,0.75,16,13.06720833
resource_constrained,34,74,13,3,0.7922077922,13,156.9935625
intermediate_capacity,34,25,5,2,0.7407407407,38,25.49491667
high_capacity,34,9,1,1,0.8,15,13.08197917
resource_constrained,35,84,20,0,0.7619047619,15,207.5997292
intermediate_capacity,35,30,10,2,0.625,55,25.49491667
high_capacity,35,12,3,0,0.75,16,13.06720833
resource_constrained,36,71,13,6,0.7532467532,23,154.5673125
intermediate_capacity,36,25,4,1,0.8076923077,48,24.5055625
high_capacity,36,12,3,0,0.75,16,13.06720833
resource_constrained,37,77,17,4,0.7407407407,26,155.6040833
intermediate_capacity,37,25,5,2,0.7407407407,48,24.33625
high_capacity,37,10,1,0,0.9,15,13.08197917
resource_constrained,38,78,18,4,0.7317073171,17,207.5997292
intermediate_capacity,38,31,9,0,0.7096774194,58,24.10502083
high_capacity,38,12,3,0,0.75,16,13.06720833
resource_constrained,39,86,26,4,0.6666666667,18,207.5997292
intermediate_capacity,39,35,13,0,0.6285714286,51,24.5055625
high_capacity,39,11,2,0,0.8181818182,16,13.06720833
resource_constrained,40,92,32,4,0.625,13,207.6623542
intermediate_capacity,40,31,9,0,0.7096774194,32,33.0049375
high_capacity,40,10,1,0,0.9,14,13.11922917
resource_constrained,41,102,38,0,0.6274509804,22,207.5997292
intermediate_capacity,41,28,7,1,0.724137931,68,21.58458333
high_capacity,41,11,3,1,0.6666666667,16,13.06720833
resource_constrained,42,61,7,10,0.7605633803,14,156.9935625
intermediate_capacity,42,25,4,1,0.8076923077,50,21.05622917
high_capacity,42,9,1,1,0.8,15,13.08197917
resource_constrained,43,71,14,7,0.7307692308,21,156.9935625
intermediate_capacity,43,29,7,0,0.7586206897,46,24.93072917
