profile,dimensions,objectives,frontier_size,added_vs_six,removed_vs_six
high_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|implementation_cost_points,9,0,0
high_capacity,3,mean_hours_lost|tail_hours_lost_cvar90|operational_burden_points,5,0,4
high_capacity,3,mean_hours_lost|sustained_outage_probability|nonrecovery_probability,1,0,8
high_capacity,3,mean_hours_lost|sustained_outage_probability|implementation_cost_points,9,0,0
high_capacity,3,mean_hours_lost|sustained_outage_probability|operational_burden_points,5,0,4
high_capacity,3,mean_hours_lost|nonrecovery_probability|implementation_cost_points,9,0,0
high_capacity,3,mean_hours_lost|nonrecovery_probability|operational_burden_points,5,0,4
high_capacity,3,mean_hours_lost|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability,2,0,7
high_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points,6,0,3
high_capacity,3,tail_hours_lost_cvar90|sustained_outage_probability|operational_burden_points,4,0,5
high_capacity,3,tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points,6,0,3
high_capacity,3,tail_hours_lost_cvar90|nonrecovery_probability|operational_burden_points,4,0,5
high_capacity,3,tail_hours_lost_cvar90|implementation_cost_points|operational_burden_points,6,0,3
high_capacity,3,sustained_outage_probability|nonrecovery_probability|implementation_cost_points,4,0,5
high_capacity,3,sustained_outage_probability|nonrecovery_probability|operational_burden_points,3,0,6
high_capacity,3,sustained_outage_probability|implementation_cost_points|operational_burden_points,4,0,5
high_capacity,3,nonrecovery_probability|implementation_cost_points|operational_burden_points,2,0,7
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability,1,0,8
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points,9,0,0
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|operational_burden_points,5,0,4
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points,9,0,0
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|operational_burden_points,5,0,4
high_capacity,4,mean_hours_lost|tail_hours_lost_cvar90|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,4,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,9,0,0
high_capacity,4,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|operational_burden_points,5,0,4
high_capacity,4,mean_hours_lost|sustained_outage_probability|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,4,mean_hours_lost|nonrecovery_probability|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,6,0,3
high_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|operational_burden_points,4,0,5
high_capacity,4,tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points|operational_burden_points,6,0,3
high_capacity,4,tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points|operational_burden_points,6,0,3
high_capacity,4,sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,4,0,5
high_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points,9,0,0
high_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|operational_burden_points,5,0,4
high_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,5,mean_hours_lost|tail_hours_lost_cvar90|nonrecovery_probability|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,5,mean_hours_lost|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,9,0,0
high_capacity,5,tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,6,0,3
high_capacity,6,mean_hours_lost|tail_hours_lost_cvar90|sustained_outage_probability|nonrecovery_probability|implementation_cost_points|operational_burden_points,9,0,0
