portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
least_privilege,adaptive,27,165.375,1,1,225
least_privilege,naive,28,20.8,0,0,9
least_privilege,adaptive,28,201.12500000000003,1,1,229
least_privilege,naive,29,195.775,1,1,149
least_privilege,adaptive,29,142.6,1,1,192
least_privilege,naive,30,2.6,0,0,1
least_privilege,adaptive,30,191.4,1,1,230
least_privilege,naive,31,1.4,0,0,2
least_privilege,adaptive,31,159.775,1,1,195
least_privilege,naive,32,0.0,0,0,1
least_privilege,adaptive,32,179.3,1,1,234
least_privilege,naive,33,238.8,1,1,152
least_privilege,adaptive,33,202.875,1,1,217
least_privilege,naive,34,0.0,0,0,1
least_privilege,adaptive,34,198.42499999999998,1,1,225
least_privilege,naive,35,0.0,0,0,1
least_privilege,adaptive,35,231.575,1,1,277
least_privilege,naive,36,2.8,0,1,10
least_privilege,adaptive,36,161.77499999999998,1,1,197
least_privilege,naive,37,146.35000000000002,1,1,155
least_privilege,adaptive,37,163.4,1,1,213
least_privilege,naive,38,25.575,1,0,23
least_privilege,adaptive,38,213.57500000000002,1,1,278
least_privilege,naive,39,117.425,1,1,70
least_privilege,adaptive,39,195.89999999999998,1,1,149
least_privilege,naive,40,122.22500000000001,1,1,112
least_privilege,adaptive,40,195.95,1,1,269
least_privilege,naive,41,24.0,0,0,1
least_privilege,adaptive,41,206.85,1,1,226
least_privilege,naive,42,2.5999999999999996,0,0,1
least_privilege,adaptive,42,180.77500000000003,1,1,195
least_privilege,naive,43,1.4,0,0,2
least_privilege,adaptive,43,148.27499999999998,1,1,170
least_privilege,naive,44,187.8,1,1,124
least_privilege,adaptive,44,238.70000000000002,1,1,246
least_privilege,naive,45,10.200000000000001,0,0,7
least_privilege,adaptive,45,157.95000000000002,1,1,207
least_privilege,naive,46,183.95,1,1,53
least_privilege,adaptive,46,203.625,1,1,194
least_privilege,naive,47,9.4,0,0,1
least_privilege,adaptive,47,152.5,1,1,222
least_privilege,naive,48,0.0,0,0,6
least_privilege,adaptive,48,215.15000000000003,1,1,247
least_privilege,naive,49,168.22499999999997,1,1,154
least_privilege,adaptive,49,194.85,1,1,231
least_privilege,naive,50,16.0,0,1,23
least_privilege,adaptive,50,184.55,1,1,223
least_privilege,naive,51,174.47500000000002,1,1,154
least_privilege,adaptive,51,163.125,1,1,242
least_privilege,naive,52,48.75,1,1,73
least_privilege,adaptive,52,213.20000000000002,1,1,184
least_privilege,naive,53,0.0,0,0,1
least_privilege,adaptive,53,165.775,1,1,251
least_privilege,naive,54,10.525000000000002,1,0,2
least_privilege,adaptive,54,178.1,1,1,188
least_privilege,naive,55,198.55000000000004,1,1,156
least_privilege,adaptive,55,219.7,1,1,193
least_privilege,naive,56,0.0,0,0,8
least_privilege,adaptive,56,178.925,1,1,209
least_privilege,naive,57,1.4,0,0,2
least_privilege,adaptive,57,179.35000000000002,1,1,262
least_privilege,naive,58,195.05,1,1,148
least_privilege,adaptive,58,180.2,1,1,208
least_privilege,naive,59,2.6,0,0,1
least_privilege,adaptive,59,170.025,1,1,170
patch_90,naive,0,0.0,0,0,1
patch_90,adaptive,0,0.0,0,0,1
patch_90,naive,1,216.95,1,1,209
patch_90,adaptive,1,249.60000000000002,1,1,269
patch_90,naive,2,206.30000000000004,1,1,214
patch_90,adaptive,2,248.175,1,1,273
patch_90,naive,3,162.225,1,1,143
patch_90,adaptive,3,178.35,1,1,204
patch_90,naive,4,214.35000000000002,1,1,168
patch_90,adaptive,4,217.45,1,1,238
patch_90,naive,5,0.0,0,0,1
