trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000013,backup,20260713,small_clinic,high_capacity,backup_connected,internet_facing,42,44,339,flat,0.75,0.8409,3,0.9,connected,0,0,3,0.06818181818,3,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,11,
5000014,backup,20260713,small_clinic,high_capacity,backup_periodic,workstation,3,51,382,flat,0.75,0.8235,3,0.9,periodic,0,0,2,0.03921568627,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,
5000015,backup,20260713,small_clinic,high_capacity,backup_periodic,internet_facing,58,60,501,flat,0.75,0.7333,3,0.9,periodic,0,0,30,0.5,30,10,29,39,1,1,62,80,66,89,119,62,76,7,554,99.175,0.379442402,1,168,175,1,1,12,0,175,
5000016,backup,20260713,small_clinic,high_capacity,backup_isolated,workstation,11,52,365,flat,0.75,0.6731,3,0.9,isolated,0,0,1,0.01923076923,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,
5000017,backup,20260713,small_clinic,high_capacity,backup_isolated,internet_facing,48,50,356,flat,0.75,0.76,3,0.9,isolated,0,0,13,0.26,13,7,12,21,0,1,22,22,22,23,22,22,0,6,133,26.025,0.1156556373,1,24,27,1,1,0,1,35,
5000018,backup,20260713,regional_hospital,resource_constrained,backup_connected,workstation,88,259,1961,flat,0.25,0.1969,24,0.5,connected,0,0,254,0.9806949807,254,10,296,-1,1,1,185,185,185,184,184,183,183,7,1289,244.1,0.9624693627,1,40,-1,0,0,78,0,192,
5000019,backup,20260713,regional_hospital,resource_constrained,backup_connected,internet_facing,198,203,1504,flat,0.25,0.2512,24,0.5,connected,0,0,201,0.9901477833,201,10,229,-1,1,1,189,189,190,191,189,189,187,7,1324,250.7,0.9878982843,1,40,-1,0,0,59,0,192,
5000020,backup,20260713,regional_hospital,resource_constrained,backup_periodic,workstation,23,210,1565,flat,0.25,0.2048,24,0.5,periodic,0,0,203,0.9666666667,203,10,235,-1,1,1,182,181,182,181,181,181,181,7,1269,240.3,0.9456188725,1,83,-1,0,0,62,0,192,
5000021,backup,20260713,regional_hospital,resource_constrained,backup_periodic,internet_facing,260,265,1953,flat,0.25,0.1962,24,0.5,periodic,0,0,262,0.9886792453,262,10,303,-1,1,1,188,188,190,190,188,188,185,7,1317,249.45,0.9840686275,1,48,-1,0,0,78,0,192,
5000022,backup,20260713,regional_hospital,resource_constrained,backup_isolated,workstation,49,239,1713,flat,0.25,0.1925,24,0.5,isolated,0,0,226,0.9456066946,226,9,249,-1,0,1,184,184,184,184,184,184,0,6,1104,216.2,0.9583333333,1,80,-1,0,0.1428571429,0,1,192,
