trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
28,main,20260713,small_clinic,resource_constrained,fast_detection,vendor_connection,48,49,323,flat,0.25,0.1429,12,0.95,connected,0,1,46,0.9387755102,46,10,46,82,1,1,114,134,124,141,168,109,139,7,929,170.05,0.6609987745,1,22,164,1,0.8571428571,13,0,192,8
29,main,20260713,small_clinic,resource_constrained,fast_detection,vendor_connection,47,48,317,flat,0.25,0.1875,12,0.95,connected,0,1,45,0.9375,45,10,53,65,1,1,109,119,118,141,163,109,111,7,870,159.75,0.626685049,1,48,177,1,1,13,0,192,8
30,main,20260713,small_clinic,resource_constrained,isolated_backups,workstation,8,50,306,flat,0.25,0.26,24,0.5,isolated,0,0,47,0.94,47,9,54,-1,0,1,160,155,155,156,156,155,8,7,945,184.85,0.8160232843,1,56,-1,0,0.1428571429,0,1,192,2
31,main,20260713,small_clinic,resource_constrained,isolated_backups,workstation,10,49,309,flat,0.25,0.2449,24,0.5,isolated,0,0,46,0.9387755102,46,9,50,159,0,1,151,153,155,155,165,151,24,7,954,184.425,0.7987132353,1,32,174,1,1,0,1,192,2
32,main,20260713,small_clinic,resource_constrained,isolated_backups,internet_facing,48,50,320,flat,0.25,0.34,24,0.5,isolated,0,0,47,0.94,47,9,49,155,0,1,160,160,163,162,175,158,0,6,978,190.075,0.8396139706,1,35,170,1,1,0,1,192,2
33,main,20260713,small_clinic,resource_constrained,isolated_backups,internet_facing,50,52,332,flat,0.25,0.1731,24,0.5,isolated,0,0,50,0.9615384615,50,9,54,124,0,1,128,131,137,133,143,128,0,6,800,155.4,0.6881127451,1,48,182,1,1,0,1,192,2
34,main,20260713,small_clinic,resource_constrained,isolated_backups,vendor_connection,47,48,317,flat,0.25,0.1875,24,0.5,isolated,0,0,45,0.9375,45,9,51,156,0,1,169,167,165,169,179,164,0,6,1013,197.15,0.8722426471,1,17,172,1,1,0,1,192,2
35,main,20260713,small_clinic,resource_constrained,isolated_backups,vendor_connection,59,60,387,flat,0.25,0.1833,24,0.5,isolated,0,0,58,0.9666666667,58,9,67,186,0,1,189,188,188,188,188,188,8,7,1137,222.35,0.9806985294,1,16,-1,0,0.1428571429,0,1,192,2
36,main,20260713,small_clinic,resource_constrained,full_defense,workstation,17,51,181,least_privilege,0.9,0.7255,12,0.95,isolated,1,1,7,0.137254902,7,2,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,1,0,1,33,25
37,main,20260713,small_clinic,resource_constrained,full_defense,workstation,2,54,199,least_privilege,0.9,0.7593,12,0.95,isolated,1,1,11,0.2037037037,11,1,10,61,0,0,0,0,0,0,0,0,8,1,8,1.2,0,0,104,0,1,1,0,1,85,25
38,main,20260713,small_clinic,resource_constrained,full_defense,internet_facing,56,58,204,least_privilege,0.9,0.8103,12,0.95,isolated,1,1,1,0.01724137931,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,25
39,main,20260713,small_clinic,resource_constrained,full_defense,internet_facing,39,41,141,least_privilege,0.9,0.6829,12,0.95,isolated,1,1,2,0.0487804878,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,11,25
40,main,20260713,small_clinic,resource_constrained,full_defense,vendor_connection,55,56,202,least_privilege,0.9,0.7321,12,0.95,isolated,1,1,6,0.1071428571,6,2,5,42,0,0,0,8,8,0,0,0,0,2,16,3.4,0.02083333333,0,32,32,1,1,0,1,49,25
41,main,20260713,small_clinic,resource_constrained,full_defense,vendor_connection,53,54,195,least_privilege,0.9,0.7593,12,0.95,isolated,1,1,1,0.01851851852,1,1,0,22,0,0,0,0,0,0,0,0,8,1,8,1.2,0,0,64,0,1,1,0,1,39,25
42,main,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,3,49,336,flat,0.5,0.4286,12,0.7,connected,0,0,41,0.8367346939,41,10,41,73,1,1,88,79,75,99,138,49,101,7,629,111.975,0.4411764706,1,67,-1,0,0.1428571429,12,0,192,0
43,main,20260713,small_clinic,intermediate_capacity,baseline_flat,workstation,5,42,295,flat,0.5,0.4048,12,0.7,connected,0,0,40,0.9523809524,40,10,42,83,1,1,127,133,124,143,168,124,128,7,947,175.175,0.6818321078,1,40,176,1,1,12,0,192,0
44,main,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,50,52,331,flat,0.5,0.5577,12,0.7,connected,0,0,39,0.75,39,10,40,69,1,1,102,110,107,121,102,102,63,7,707,135.35,0.5683210784,1,56,128,1,1,13,0,192,0
45,main,20260713,small_clinic,intermediate_capacity,baseline_flat,internet_facing,49,51,330,flat,0.5,0.4706,12,0.7,connected,0,0,43,0.8431372549,43,10,45,72,1,1,113,113,118,124,156,105,123,7,852,156.775,0.6072303922,1,44,191,1,1,12,0,192,0
46,main,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,49,50,342,flat,0.5,0.42,12,0.7,connected,0,0,44,0.88,44,10,43,97,1,1,127,78,134,149,175,39,144,7,846,151.45,0.6346507353,1,75,-1,0,0.7142857143,14,0,192,0
47,main,20260713,small_clinic,intermediate_capacity,baseline_flat,vendor_connection,54,55,356,flat,0.5,0.4545,12,0.7,connected,0,0,47,0.8545454545,47,10,49,100,1,1,143,148,152,159,183,143,145,7,1073,199.6,0.7804840686,1,42,169,1,1,13,0,192,0
48,main,20260713,small_clinic,intermediate_capacity,profile_baseline,workstation,8,53,236,basic,0.5,0.434,12,0.7,periodic,0,0,4,0.07547169811,4,1,3,22,0,0,8,8,8,16,8,8,0,6,56,10.8,0.05024509804,0,64,30,1,1,0,1,42,0
49,main,20260713,small_clinic,intermediate_capacity,profile_baseline,workstation,13,57,261,basic,0.5,0.5439,12,0.7,periodic,0,0,33,0.5789473684,33,8,32,77,0,1,81,83,80,85,95,80,0,6,504,97.225,0.4272365196,1,104,88,1,1,0,1,111,0
50,main,20260713,small_clinic,intermediate_capacity,profile_baseline,internet_facing,55,57,270,basic,0.5,0.386,12,0.7,periodic,0,0,2,0.0350877193,2,2,1,15,0,0,0,0,8,0,0,0,0,1,8,1.8,0.01102941176,0,32,17,1,1,0,1,20,0
51,main,20260713,small_clinic,intermediate_capacity,profile_baseline,internet_facing,58,60,276,basic,0.5,0.4167,12,0.7,periodic,0,0,2,0.03333333333,2,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12,0
52,main,20260713,small_clinic,intermediate_capacity,profile_baseline,vendor_connection,39,40,175,basic,0.5,0.525,12,0.7,periodic,0,0,2,0.05,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,12,0
53,main,20260713,small_clinic,intermediate_capacity,profile_baseline,vendor_connection,52,53,237,basic,0.5,0.4528,12,0.7,periodic,0,0,1,0.01886792453,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0
54,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,workstation,6,46,209,basic,0.5,0.5217,12,0.7,connected,0,0,9,0.1956521739,9,4,8,59,0,0,8,8,8,8,8,8,8,7,56,10.6,0.04166666667,0,32,29,1,1,0,1,69,3
