setting_id,treatment,baseline_mean_hours,treatment_mean_hours,relative_reduction,treatment_favored
fine_lhs_073,seg_detect_backup,277.0933333,160.225,0.4217652296,1
fine_lhs_074,seg_detect_backup,375.5458333,322.1575,0.1421619642,1
fine_lhs_075,seg_detect_backup,329.7883333,289.5625,0.1219747008,1
fine_lhs_076,seg_detect_backup,366.9016667,270.18,0.2636174088,1
fine_lhs_077,seg_detect_backup,375.8633333,319.5508333,0.1498217437,1
fine_lhs_078,seg_detect_backup,341.5441667,261.8766667,0.2332568018,1
fine_lhs_079,seg_detect_backup,235.3041667,37.645,0.8400155827,1
fine_lhs_080,seg_detect_backup,370.325,289.7066667,0.2176961678,1
fine_lhs_081,seg_detect_backup,367.325,220.8766667,0.398688718,1
fine_lhs_082,seg_detect_backup,314.1408333,36.03083334,0.8853035661,1
fine_lhs_083,seg_detect_backup,250.6325,177.5975,0.291402751,1
fine_lhs_084,seg_detect_backup,368.0908333,313.4641667,0.1484053981,1
fine_lhs_085,seg_detect_backup,372.7016667,333.2625,0.1058196682,1
fine_lhs_086,seg_detect_backup,184.52,58.9225,0.6806714719,1
fine_lhs_087,seg_detect_backup,351.7216667,193.1633333,0.450806272,1
fine_lhs_088,seg_detect_backup,373.6691667,358.355,0.04098322272,1
fine_lhs_089,seg_detect_backup,336.0816667,255.4066667,0.2400458222,1
fine_lhs_090,seg_detect_backup,278.6458333,83.01666667,0.702071028,1
fine_lhs_091,seg_detect_backup,375.215,364.295,0.0291033141,1
fine_lhs_092,seg_detect_backup,254.285,9.021666667,0.9645214359,1
fine_lhs_093,seg_detect_backup,321.3675,126.1725,0.6073887372,1
fine_lhs_094,seg_detect_backup,66.16916667,0,1,1
fine_lhs_095,seg_detect_backup,338.7208333,225.9191667,0.3330225235,1
fine_lhs_096,seg_detect_backup,370.4125,262.3166667,0.2918255548,1
fine_lhs_097,seg_detect_backup,264.7591667,117.8508333,0.5548753427,1
fine_lhs_098,seg_detect_backup,363.6358333,264.1808333,0.2735016489,1
fine_lhs_099,seg_detect_backup,308.4158333,184.065,0.4031921189,1
fine_lhs_100,seg_detect_backup,371.9391667,277.1875,0.2547504408,1
fine_lhs_101,seg_detect_backup,310.695,212.5808333,0.3157893325,1
fine_lhs_102,seg_detect_backup,310.12,209.4216667,0.32470764,1
fine_lhs_103,seg_detect_backup,273.165,43.10083333,0.8422168531,1
fine_lhs_104,seg_detect_backup,375.3566667,292.2691667,0.2213561324,1
fine_lhs_105,seg_detect_backup,329.1908333,279.2641667,0.1516648145,1
fine_lhs_106,seg_detect_backup,123.0408333,4.615,0.9624921266,1
fine_lhs_107,seg_detect_backup,328.095,216.3466667,0.3405974895,1
fine_lhs_108,seg_detect_backup,309.1483333,0.32,0.9989648982,1
fine_lhs_109,seg_detect_backup,356.6025,306.8508333,0.139515754,1
fine_lhs_110,seg_detect_backup,365.62,311.8366667,0.1471017267,1
fine_lhs_111,seg_detect_backup,311.255,212.1816667,0.3183027849,1
fine_lhs_112,seg_detect_backup,203.4166667,102.4116667,0.4965424007,1
fine_lhs_113,seg_detect_backup,375.1875,319.4608333,0.1485301793,1
fine_lhs_114,seg_detect_backup,305.3641667,56.7275,0.8142300041,1
fine_lhs_115,seg_detect_backup,226.47,24.87083334,0.8901804507,1
fine_lhs_116,seg_detect_backup,373.0183333,290.485,0.2212581151,1
fine_lhs_117,seg_detect_backup,310.4075,144.3916667,0.5348319011,1
fine_lhs_118,seg_detect_backup,374.8666667,310.6283333,0.1713631514,1
fine_lhs_119,seg_detect_backup,209.4991667,16.53083333,0.9210935605,1
fine_lhs_120,seg_detect_backup,144.1408333,43.83166666,0.695910828,1
fine_lhs_121,seg_detect_backup,342.5525,100.1708333,0.7075752378,1
fine_lhs_122,seg_detect_backup,370.7483333,275.1416667,0.2578748387,1
fine_lhs_123,seg_detect_backup,373.5225,320.0241667,0.1432265348,1
fine_lhs_124,seg_detect_backup,115.6475,45.53,0.6063036382,1
fine_lhs_125,seg_detect_backup,373.1916667,362.1033333,0.02971216755,1
fine_lhs_126,seg_detect_backup,333.8191667,178.6508333,0.4648275139,1
fine_lhs_127,seg_detect_backup,372.1275,278.41,0.2518424465,1
