profile,method,portfolio,baseline,mean_benefit,margin,lower_benefit,family_size,alpha
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,140.5184375,106.3153705,34.20306702,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,171.1300833,106.3153705,64.81471286,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,176.6087708,106.3153705,70.29340036,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,137.569125,106.3153705,31.25375452,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,144.2270625,106.3153705,37.91169202,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,139.773,106.3153705,33.45762952,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,148.1020833,106.3153705,41.78671286,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,175.8816458,106.3153705,69.56627536,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,182.0963958,106.3153705,75.78102536,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,144.237625,106.3153705,37.92225452,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+2|det1|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,151.5682917,106.3153705,45.25292119,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,29.05697916,106.3153705,-77.25839131,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,33.83466666,106.3153705,-72.48070381,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,68.9129375,106.3153705,-37.40243298,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,72.64089583,106.3153705,-33.67447464,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,32.795875,106.3153705,-73.51949548,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,37.83641666,106.3153705,-68.47895381,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,33.28872916,106.3153705,-73.02664131,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,38.14660416,106.3153705,-68.16876631,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,72.2969375,106.3153705,-34.01843298,276048,0.05
