profile,portfolio,entry_point,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
high_capacity,fast_detection,workstation,weighted_service_hours_lost,75,2.388666666666667,0.0,3.9114292277380662,3.6,6.560000000000005,9.4,1.5570000000000002,3.3451999999999993
high_capacity,fast_detection,workstation,catastrophic,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_capacity,full_defense,internet_facing,weighted_service_hours_lost,75,4.252666666666666,1.8,6.427430885882226,6.0,12.0,14.507499999999997,2.8645416666666668,5.788399999999999
high_capacity,full_defense,internet_facing,catastrophic,75,0.02666666666666667,0.0,0.16219218941214866,0.0,0.0,0.0,0.0,0.06666666666666667
high_capacity,full_defense,medical_device,weighted_service_hours_lost,75,2.9870000000000005,0.8,4.606598454860628,4.0,9.880000000000006,13.58,1.9985083333333336,4.087441666666666
high_capacity,full_defense,medical_device,catastrophic,75,0.02666666666666667,0.0,0.16219218941214866,0.0,0.0,0.0,0.0,0.06666666666666667
high_capacity,full_defense,privileged_system,weighted_service_hours_lost,75,3.6176666666666666,2.0,4.567207906704387,4.6,11.520000000000001,13.3525,2.6213166666666665,4.641791666666667
high_capacity,full_defense,privileged_system,catastrophic,75,0.013333333333333334,0.0,0.11547005383792518,0.0,0.0,0.0,0.0,0.04
high_capacity,full_defense,vendor_connection,weighted_service_hours_lost,75,3.083333333333334,1.2,4.3510043367869375,4.3,10.12000000000001,12.299999999999997,2.1353166666666663,4.0700166666666675
high_capacity,full_defense,vendor_connection,catastrophic,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high_capacity,full_defense,workstation,weighted_service_hours_lost,75,4.2076666666666656,1.2,6.151077928679224,7.199999999999999,14.700000000000005,16.259999999999998,2.8983083333333335,5.688591666666666
high_capacity,full_defense,workstation,catastrophic,75,0.06666666666666667,0.0,0.2511236011669613,0.0,0.0,1.0,0.013333333333333334,0.12
high_capacity,identity_controls,internet_facing,weighted_service_hours_lost,75,15.141,4.4,21.750672807239035,18.175000000000004,54.01,65.845,10.452574999999998,20.196024999999995
high_capacity,identity_controls,internet_facing,catastrophic,75,0.38666666666666666,0.0,0.4902656018530775,1.0,1.0,1.0,0.28,0.49333333333333335
high_capacity,identity_controls,medical_device,weighted_service_hours_lost,75,11.301333333333334,4.2,19.870148946199272,11.200000000000001,30.180000000000106,66.67999999999998,7.103766666666665,16.217399999999998
high_capacity,identity_controls,medical_device,catastrophic,75,0.24,0.0,0.4299591432506872,0.0,1.0,1.0,0.14666666666666667,0.3333333333333333
high_capacity,identity_controls,privileged_system,weighted_service_hours_lost,75,18.727666666666668,5.3,25.786061593863504,29.837500000000002,58.41500000000003,73.69749999999996,13.292525,24.83413333333333
high_capacity,identity_controls,privileged_system,catastrophic,75,0.37333333333333335,0.0,0.48694672923957205,1.0,1.0,1.0,0.26666666666666666,0.48
high_capacity,identity_controls,vendor_connection,weighted_service_hours_lost,75,18.726333333333333,3.6,25.523451025522636,30.05,63.855000000000125,76.525,13.193216666666666,24.692791666666672
high_capacity,identity_controls,vendor_connection,catastrophic,75,0.41333333333333333,0.0,0.4957476835707513,1.0,1.0,1.0,0.30666666666666664,0.5333333333333333
high_capacity,identity_controls,workstation,weighted_service_hours_lost,75,5.668666666666667,1.8,8.877757559163197,8.9,16.015000000000008,22.015,3.8785750000000005,7.848766666666668
high_capacity,identity_controls,workstation,catastrophic,75,0.10666666666666667,0.0,0.3107677212591047,0.0,0.6000000000000085,1.0,0.04,0.18666666666666668
high_capacity,isolated_backups,internet_facing,weighted_service_hours_lost,75,14.49933333333333,4.6000000000000005,18.621649877069007,21.825,47.59000000000005,54.542500000000004,10.322158333333334,18.71704166666666
high_capacity,isolated_backups,internet_facing,catastrophic,75,0.36,0.0,0.4832323597540975,1.0,1.0,1.0,0.25333333333333335,0.4666666666666667
high_capacity,isolated_backups,medical_device,weighted_service_hours_lost,75,9.542333333333334,3.6,14.131511876934045,11.8125,23.295000000000037,43.592499999999994,6.683925,12.960891666666663
high_capacity,isolated_backups,medical_device,catastrophic,75,0.2,0.0,0.4026936331284146,0.0,1.0,1.0,0.12,0.29333333333333333
high_capacity,isolated_backups,privileged_system,weighted_service_hours_lost,75,17.671333333333333,11.4,19.015753912134194,26.7625,47.76000000000002,54.94999999999999,13.543650000000001,22.138908333333323
high_capacity,isolated_backups,privileged_system,catastrophic,75,0.41333333333333333,0.0,0.49574768357075133,1.0,1.0,1.0,0.30666666666666664,0.5333333333333333
high_capacity,isolated_backups,vendor_connection,weighted_service_hours_lost,75,11.479000000000001,3.2,17.679173520030606,15.95,34.00500000000001,45.20999999999999,8.017991666666667,15.458308333333333
high_capacity,isolated_backups,vendor_connection,catastrophic,75,0.3466666666666667,0.0,0.47911329510831724,1.0,1.0,1.0,0.24,0.4533333333333333
high_capacity,isolated_backups,workstation,weighted_service_hours_lost,75,5.476666666666667,2.0,9.590777465220816,6.225,13.40000000000001,26.249999999999993,3.4042833333333333,7.876224999999999
high_capacity,isolated_backups,workstation,catastrophic,75,0.10666666666666667,0.0,0.3107677212591047,0.0,0.6000000000000085,1.0,0.04,0.17333333333333334
high_capacity,least_privilege,internet_facing,weighted_service_hours_lost,75,4.409000000000001,1.8,6.176345241365684,5.199999999999999,13.010000000000009,18.747499999999995,3.109766666666667,5.780358333333333
high_capacity,least_privilege,internet_facing,catastrophic,75,0.05333333333333334,0.0,0.2262104576963036,0.0,0.0,0.29999999999999716,0.013333333333333334,0.10666666666666667
high_capacity,least_privilege,medical_device,weighted_service_hours_lost,75,3.6703333333333332,1.4,4.890047278645411,6.4375,11.000000000000002,11.879999999999995,2.5819833333333335,4.795374999999999
high_capacity,least_privilege,medical_device,catastrophic,75,0.06666666666666667,0.0,0.25112360116696136,0.0,0.0,1.0,0.013333333333333334,0.12
high_capacity,least_privilege,privileged_system,weighted_service_hours_lost,75,5.032333333333332,3.5250000000000004,4.966769256453016,8.55,11.760000000000005,13.877499999999998,3.955616666666667,6.1944583333333325
high_capacity,least_privilege,privileged_system,catastrophic,75,0.09333333333333334,0.0,0.29285792761297375,0.0,0.0,1.0,0.02666666666666667,0.16
high_capacity,least_privilege,vendor_connection,weighted_service_hours_lost,75,4.600666666666667,2.2,5.431754067725476,8.399999999999999,12.875000000000002,13.860000000000001,3.396316666666666,5.802683333333333
high_capacity,least_privilege,vendor_connection,catastrophic,75,0.10666666666666667,0.0,0.3107677212591047,0.0,0.6000000000000085,1.0,0.04,0.17333333333333334
high_capacity,least_privilege,workstation,weighted_service_hours_lost,75,4.299,1.6,5.608065258709633,7.3,11.55,14.4675,3.097375,5.562683333333331
high_capacity,least_privilege,workstation,catastrophic,75,0.02666666666666667,0.0,0.16219218941214866,0.0,0.0,0.0,0.0,0.06666666666666667
high_capacity,patch_90,internet_facing,weighted_service_hours_lost,75,5.846333333333335,2.4000000000000004,8.6067714672861,8.6375,13.360000000000003,22.1875,4.008275,8.011466666666665
high_capacity,patch_90,internet_facing,catastrophic,75,0.16,0.0,0.36907481113754725,0.0,1.0,1.0,0.08,0.24
high_capacity,patch_90,medical_device,weighted_service_hours_lost,75,5.087000000000001,1.8,8.219182161590371,5.975,12.320000000000002,18.13499999999999,3.360483333333334,7.214066666666662
high_capacity,patch_90,medical_device,catastrophic,75,0.12,0.0,0.3271498540837624,0.0,1.0,1.0,0.05333333333333334,0.2
high_capacity,patch_90,privileged_system,weighted_service_hours_lost,75,8.603000000000002,3.8,14.321799887829288,11.0,19.600000000000016,28.032499999999995,5.671983333333333,12.567858333333334
high_capacity,patch_90,privileged_system,catastrophic,75,0.2,0.0,0.4026936331284146,0.0,1.0,1.0,0.12,0.29333333333333333
high_capacity,patch_90,vendor_connection,weighted_service_hours_lost,75,7.0726666666666675,2.0,13.160111448362942,8.2,17.630000000000003,36.57999999999999,4.34095,10.441741666666669
high_capacity,patch_90,vendor_connection,catastrophic,75,0.14666666666666667,0.0,0.3561556497471953,0.0,1.0,1.0,0.06666666666666667,0.24
high_capacity,patch_90,workstation,weighted_service_hours_lost,75,2.8506666666666662,1.4,6.332437371428403,3.4000000000000004,5.460000000000001,7.779999999999998,1.7086000000000001,4.460866666666664
high_capacity,patch_90,workstation,catastrophic,75,0.013333333333333334,0.0,0.11547005383792519,0.0,0.0,0.0,0.0,0.04
high_capacity,patch_plus_least_privilege,internet_facing,weighted_service_hours_lost,75,3.3703333333333334,1.4,4.687237728398522,5.0,9.700000000000006,11.679999999999996,2.3862,4.496449999999999
