facility,profile,portfolio,n,n_no_outage,n_recovered,n_censored_never_recovered,outage_rate,recovery_prob_given_outage,median_recovery_step_recovered,p90_recovery_step_recovered,share_recovered_within_horizon
regional_hospital,resource_constrained,seg_plus_patch,125,6,12,107,0.952,0.1008403361,112,161.3,0.144
small_clinic,high_capacity,baseline_flat,125,69,56,0,0.448,1,21.5,56.5,1
small_clinic,high_capacity,basic_segmentation,125,92,33,0,0.264,1,11,26.8,1
small_clinic,high_capacity,detection_plus_backups,125,110,15,0,0.12,1,4,14.6,1
small_clinic,high_capacity,fast_detection,125,106,19,0,0.152,1,3,11.2,1
small_clinic,high_capacity,full_defense,125,106,19,0,0.152,1,11,25.2,1
small_clinic,high_capacity,identity_controls,125,73,52,0,0.416,1,18,64.7,1
small_clinic,high_capacity,isolated_backups,125,61,64,0,0.512,1,18.5,34.4,1
small_clinic,high_capacity,least_privilege,125,95,30,0,0.24,1,12.5,28,1
small_clinic,high_capacity,patch_90,125,73,52,0,0.416,1,18.5,41.7,1
small_clinic,high_capacity,patch_plus_least_privilege,125,96,29,0,0.232,1,11,26.8,1
small_clinic,high_capacity,profile_baseline,125,98,27,0,0.216,1,13,27,1
small_clinic,high_capacity,seg_detect_backup,125,109,16,0,0.128,1,6,22,1
small_clinic,high_capacity,seg_plus_detection,125,106,19,0,0.152,1,9,17,1
small_clinic,high_capacity,seg_plus_patch,125,93,32,0,0.256,1,10,23.6,1
small_clinic,intermediate_capacity,baseline_flat,125,11,94,20,0.912,0.8245614035,157,185.4,0.84
small_clinic,intermediate_capacity,basic_segmentation,125,31,89,5,0.752,0.9468085106,111,176,0.96
small_clinic,intermediate_capacity,detection_plus_backups,125,40,85,0,0.68,1,47,72.6,1
small_clinic,intermediate_capacity,fast_detection,125,38,86,1,0.696,0.9885057471,101,166.5,0.992
small_clinic,intermediate_capacity,full_defense,125,99,26,0,0.208,1,18.5,42,1
small_clinic,intermediate_capacity,identity_controls,125,21,95,9,0.832,0.9134615385,155,185,0.928
small_clinic,intermediate_capacity,isolated_backups,125,7,113,5,0.944,0.9576271186,104,152,0.96
small_clinic,intermediate_capacity,least_privilege,125,59,65,1,0.528,0.9848484848,54,120,0.992
small_clinic,intermediate_capacity,patch_90,125,28,73,24,0.776,0.7525773196,150,181.8,0.808
small_clinic,intermediate_capacity,patch_plus_least_privilege,125,64,61,0,0.488,1,29,83,1
small_clinic,intermediate_capacity,profile_baseline,125,31,85,9,0.752,0.9042553191,102,172.6,0.928
small_clinic,intermediate_capacity,seg_detect_backup,125,74,51,0,0.408,1,27,61,1
small_clinic,intermediate_capacity,seg_plus_detection,125,74,51,0,0.408,1,23,80,1
small_clinic,intermediate_capacity,seg_plus_patch,125,51,74,0,0.592,1,42,120.2,1
small_clinic,resource_constrained,baseline_flat,125,2,29,94,0.984,0.2357723577,181,190.2,0.248
small_clinic,resource_constrained,basic_segmentation,125,11,16,98,0.912,0.1403508772,178,192,0.216
small_clinic,resource_constrained,detection_plus_backups,125,7,117,1,0.944,0.9915254237,105,146.8,0.992
small_clinic,resource_constrained,fast_detection,125,7,93,25,0.944,0.7881355932,156,185.8,0.8
small_clinic,resource_constrained,full_defense,125,66,59,0,0.472,1,40,93,1
small_clinic,resource_constrained,identity_controls,125,2,21,102,0.984,0.1707317073,180,187,0.184
small_clinic,resource_constrained,isolated_backups,125,3,80,42,0.976,0.6557377049,151.5,186,0.664
small_clinic,resource_constrained,least_privilege,125,16,57,52,0.872,0.5229357798,146,179,0.584
small_clinic,resource_constrained,patch_90,125,8,22,95,0.936,0.188034188,170,191,0.24
small_clinic,resource_constrained,patch_plus_least_privilege,125,31,76,18,0.752,0.8085106383,82.5,160.5,0.856
small_clinic,resource_constrained,profile_baseline,125,2,32,91,0.984,0.2601626016,183,190,0.272
small_clinic,resource_constrained,seg_detect_backup,125,21,103,1,0.832,0.9903846154,102,151,0.992
small_clinic,resource_constrained,seg_plus_detection,125,28,84,13,0.776,0.8659793814,150,184.4,0.896
small_clinic,resource_constrained,seg_plus_patch,125,20,41,64,0.84,0.3904761905,90,182,0.488
