facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,high_capacity,isolated_backups,pct_clinical_capacity_lost,125,0.07304166667,0.04166666667,0.08916223839,0.0612745098,0.2322303922,0.2649203432,0.05843483456,0.08965928309
large_hospital,high_capacity,isolated_backups,defensive_isolation_node_steps,125,2516.544,2503,358.2557769,413,2916.6,2983.6,2445.8312,2577.839
large_hospital,high_capacity,least_privilege,weighted_service_hours_lost,125,7.3078,5,6.46125192,10.4,15.72,20.4,6.193395,8.42727
large_hospital,high_capacity,least_privilege,pct_compromised,125,0.002247359161,0.001259445844,0.002147247226,0.001143438252,0.004516733929,0.006468348437,0.001891978044,0.002641919675
large_hospital,high_capacity,least_privilege,catastrophic,125,0.048,0,0.2146264572,0,0,0,0.016,0.088
large_hospital,high_capacity,least_privilege,total_service_downtime_steps,125,38.128,24,32.83143065,56,83,104,32.4796,43.8258
large_hospital,high_capacity,least_privilege,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,high_capacity,least_privilege,identity_compromised,125,0.088,0,0.2844349237,0,0,1,0.04,0.136
large_hospital,high_capacity,least_privilege,recovered_within_horizon,125,0.944,1,0.2308469679,0,1,1,0.904,0.984
large_hospital,high_capacity,least_privilege,pct_clinical_capacity_lost,125,0.03354534314,0.02328431373,0.02978149393,0.04289215686,0.07352941176,0.09289215686,0.02834430147,0.03871577819
large_hospital,high_capacity,least_privilege,defensive_isolation_node_steps,125,2587.864,2610,344.9271392,340,2941,2997.4,2524.0702,2646.079
large_hospital,high_capacity,patch_90,weighted_service_hours_lost,125,10.9522,7.6,12.64695353,9,22.05,38.815,8.98779,13.402905
large_hospital,high_capacity,patch_90,pct_compromised,125,0.01925776246,0.002421307506,0.04157965754,0.007762130633,0.07034722901,0.1180786255,0.01267053155,0.0272405849
large_hospital,high_capacity,patch_90,catastrophic,125,0.152,0,0.3604656487,0,1,1,0.088,0.216
large_hospital,high_capacity,patch_90,total_service_downtime_steps,125,57.776,40,65.52614155,42,114.2,210,47.584,70.3534
large_hospital,high_capacity,patch_90,backup_compromised,125,0.2,0,0.4016096645,0,1,1,0.128,0.2722
large_hospital,high_capacity,patch_90,identity_compromised,125,0.208,0,0.4075101424,0,1,1,0.136,0.288
large_hospital,high_capacity,patch_90,recovered_within_horizon,125,0.92,1,0.2723849269,0,1,1,0.872,0.96
large_hospital,high_capacity,patch_90,pct_clinical_capacity_lost,125,0.04906740196,0.04166666667,0.05409635183,0.03630514706,0.1011029412,0.1535539216,0.04053985907,0.05942999387
large_hospital,high_capacity,patch_90,defensive_isolation_node_steps,125,2587.192,2570,263.2786055,369,2943.8,3033.2,2539.4296,2634.3904
large_hospital,high_capacity,patch_plus_least_privilege,weighted_service_hours_lost,125,6.6454,4.6,5.720638908,8.8,13.4,15.52,5.664315,7.688825
large_hospital,high_capacity,patch_plus_least_privilege,pct_compromised,125,0.00175034523,0.001207729469,0.001111646851,0.00111664103,0.003158650707,0.004509525983,0.00156355123,0.001949942236
large_hospital,high_capacity,patch_plus_least_privilege,catastrophic,125,0.088,0,0.2844349237,0,0,1,0.04,0.144
large_hospital,high_capacity,patch_plus_least_privilege,total_service_downtime_steps,125,34.744,24,28.91586907,40,72,80,29.7996,40.0804
large_hospital,high_capacity,patch_plus_least_privilege,backup_compromised,125,0.008,0,0.0894427191,0,0,0,0,0.024
