facility,profile,portfolio,n,mean_hours_lost,hours_ci95_lo,hours_ci95_hi,baseline_mean_hours_lost,relative_reduction_hours,catastrophic_prob,baseline_catastrophic_prob,absolute_risk_reduction_catastrophic,cliffs_delta_vs_baseline,mannwhitney_p,mannwhitney_p_holm,significant_holm_05
small_clinic,intermediate_capacity,seg_detect_backup,125,9.369,6.590345000000001,12.805199999999997,158.90820000000002,0.9410414314679796,0.352,0.896,0.544,-0.845248,2.737568005949366e-31,2.2995571249974675e-29,1
small_clinic,intermediate_capacity,seg_plus_detection,125,12.7392,8.646310000000003,17.328009999999995,158.90820000000002,0.9198329601619047,0.304,0.896,0.5920000000000001,-0.846848,1.9082593746054065e-31,1.6411030621606495e-29,1
small_clinic,intermediate_capacity,seg_plus_patch,125,34.9268,25.374529999999996,44.76249499999999,158.90820000000002,0.7802076922399221,0.408,0.896,0.48800000000000004,-0.7434879999999999,1.8726256805492875e-24,1.3108379763845014e-22,1
small_clinic,resource_constrained,basic_segmentation,125,206.41499999999996,194.024505,218.12505000000004,232.71540000000002,0.11301529679600082,0.912,0.984,0.07199999999999995,-0.38361599999999996,1.5908779441828456e-07,6.2044239823130975e-06,1
small_clinic,resource_constrained,detection_plus_backups,125,96.6122,89.071335,103.58579499999998,232.71540000000002,0.5848482739002232,0.912,0.984,0.07199999999999995,-0.9648,1.0785885002859837e-39,1.1217320402974231e-37,1
small_clinic,resource_constrained,fast_detection,125,166.11919999999995,155.60371499999997,175.95112999999995,232.71540000000002,0.28617014602385604,0.92,0.984,0.06399999999999995,-0.837568,2.472652477669627e-30,2.002848506912398e-28,1
small_clinic,resource_constrained,full_defense,125,7.0244,4.712345000000001,9.878964999999997,232.71540000000002,0.9698154913684269,0.224,0.984,0.76,-0.975168,5.30713978725084e-41,5.781958173010782e-39,1
small_clinic,resource_constrained,identity_controls,125,233.63139999999996,228.54183999999998,237.80919999999998,232.71540000000002,-0.003936138304555435,0.992,0.984,-0.008000000000000007,-0.115456,0.11481234331741852,1.0,0
small_clinic,resource_constrained,isolated_backups,125,182.311,175.63705000000002,189.34461000000002,232.71540000000002,0.21659245584950548,0.984,0.984,0.0,-0.811968,1.3216860899541906e-28,1.0441320110638106e-26,1
small_clinic,resource_constrained,least_privilege,125,150.3258,134.25201,165.08562999999998,232.71540000000002,0.3540358738613776,0.84,0.984,0.14400000000000002,-0.743168,3.1019671367320538e-24,2.140357324345117e-22,1
small_clinic,resource_constrained,patch_90,125,217.41479999999999,206.56737000000004,226.63854000000003,232.71540000000002,0.06574811980642463,0.936,0.984,0.04799999999999993,-0.26060799999999995,0.0003700497112272557,0.009621292491908648,1
small_clinic,resource_constrained,patch_plus_least_privilege,125,50.91440000000001,39.70955000000001,63.18215,232.71540000000002,0.7812160260988315,0.544,0.984,0.43999999999999995,-0.930752,3.928793470773652e-37,3.8502176013581787e-35,1
small_clinic,resource_constrained,profile_baseline,125,233.9872,227.41916499999996,239.26422500000007,232.71540000000002,-0.005465044427657064,0.984,0.984,0.0,-0.027776000000000023,0.7049039522781049,1.0,0
small_clinic,resource_constrained,seg_detect_backup,125,79.08479999999999,69.78354499999998,87.96740499999999,232.71540000000002,0.6601651631133995,0.8,0.984,0.18399999999999994,-0.96544,9.491790716727868e-40,1.006129815973154e-37,1
small_clinic,resource_constrained,seg_plus_detection,125,134.62859999999998,122.89307999999998,147.163765,232.71540000000002,0.4214882212350366,0.856,0.984,0.128,-0.899136,1.0648090710553464e-34,9.796243453709187e-33,1
small_clinic,resource_constrained,seg_plus_patch,125,126.60719999999998,109.568725,144.16240000000002,232.71540000000002,0.45595693280290017,0.728,0.984,0.256,-0.741952,3.598387593291514e-24,2.4469035634382297e-22,1
