condition,profile,n,architecture,shielded,kind,spread,hours,p_outage_k4,p_outage_k1,self_inflicted_steps,p_any_self_inflicted,shield_interventions,share_connected,share_disconnect,share_zone_lockdown,share_islands,share_micro_lockdown
zone_lockdown,intermediate_capacity,200,today,0,scripted,0.514265396157804,177.50662499999999,0.785,0.82,0.0,0.0,0.0,0.41989458505295607,0.0,0.5801054149470439,0.0,0.0
zone_lockdown,high_capacity,200,today,0,scripted,0.01439445680153009,14.564499999999999,0.045,0.215,0.0,0.0,0.0,0.5041360135391842,0.0,0.4958639864608158,0.0,0.0
micro_lockdown_upper_bound,resource_constrained,200,today,0,scripted,0.7717127916280484,346.6002916666667,0.97,0.975,0.0,0.0,0.0,0.32936136889595363,0.0,0.0,0.0,0.6706386311040464
micro_lockdown_upper_bound,intermediate_capacity,200,today,0,scripted,0.2503815739460077,141.75683333333333,0.67,0.755,0.0,0.0,0.0,0.44719557687183586,0.0,0.0,0.0,0.5528044231281641
micro_lockdown_upper_bound,high_capacity,200,today,0,scripted,0.010933240892798337,14.20583333333333,0.04,0.2,0.0,0.0,0.0,0.5054296996778551,0.0,0.0,0.0,0.4945703003221449
islands,resource_constrained,200,replicas,0,scripted,0.8193928557008134,337.46429166666667,0.97,0.97,6.24,0.445,0.0,0.3220272539508867,0.0,0.0,0.6779727460491133,0.0
islands,intermediate_capacity,200,replicas,0,scripted,0.3016875614271062,139.18108333333333,0.72,0.765,31.665,0.83,0.0,0.4277371405453727,0.0,0.0,0.5722628594546273,0.0
islands,high_capacity,200,replicas,0,scripted,0.011047740799498466,10.331458333333332,0.01,0.055,14.105,0.575,0.0,0.505317214264683,0.0,0.0,0.49468278573531704,0.0
islands_shielded,resource_constrained,200,replicas,1,scripted,0.82095706818505,340.00933333333336,0.97,0.97,0.0,0.0,0.365,0.3313478945181995,0.0,0.0,0.6686521054818004,0.0
islands_shielded,intermediate_capacity,200,replicas,1,scripted,0.31772811972035264,144.28841666666665,0.74,0.76,0.0,0.0,1.545,0.4730532378540298,0.0,0.0,0.5269467621459702,0.0
islands_shielded,high_capacity,200,replicas,1,scripted,0.011165734598971506,9.153,0.01,0.04,0.0,0.0,1.09,0.5431092713511266,0.0,0.0,0.4568907286488733,0.0
q_containment_today,resource_constrained,200,today,0,learned,0.39580055037432216,311.81241666666665,0.93,0.94,322.27,1.0,0.0,0.000737268298077573,0.8595073818988345,0.13975534980308793,0.0,0.0
q_containment_today,intermediate_capacity,200,today,0,learned,0.03612122644971791,169.80945833333334,0.69,0.765,331.585,1.0,0.0,0.002200965038516888,0.5241682891729451,0.47363074578853803,0.0,0.0
q_containment_today,high_capacity,200,today,0,learned,0.005385519619370782,54.07779166666666,0.24,0.415,96.87,1.0,0.0,0.0005039264267416957,0.17879309620795364,0.8207029773653046,0.0,0.0
q_containment_today_shielded,resource_constrained,200,today,1,learned,0.6985480686687364,309.65391666666665,0.975,0.98,0.0,0.0,1.535,0.22398143403250223,0.7731912612724049,0.0028273046950928592,0.0,0.0
q_containment_today_shielded,intermediate_capacity,200,today,1,learned,0.22892360106534204,121.80441666666665,0.795,0.825,0.0,0.0,2.21,0.6521257378469307,0.3200727941818377,0.027801467971231526,0.0,0.0
q_containment_today_shielded,high_capacity,200,today,1,learned,0.01329884628766716,14.73645833333333,0.025,0.2,0.0,0.0,0.38,0.8945100680413083,0.019557558802196662,0.085932373156495,0.0,0.0
