family,reference,treatment,profile,n,d_weighted_service_hours_lost,d_weighted_service_hours_lost_lo,d_weighted_service_hours_lost_hi,d_sustained_clinical_outage_k4,d_sustained_clinical_outage_k4_lo,d_sustained_clinical_outage_k4_hi,d_sustained_clinical_outage_k1,d_sustained_clinical_outage_k1_lo,d_sustained_clinical_outage_k1_hi,d_ever_compromised_fraction,d_ever_compromised_fraction_lo,d_ever_compromised_fraction_hi,share_worse_hours,share_better_hours
vs_passive,passive,disconnect,intermediate_capacity,200,62.319958333333346,49.84051770833332,74.3395625,0.05,0.0,0.09012499999999932,0.095,0.04,0.15,-0.2904024306442835,-0.3189980038270118,-0.26242692002057205,0.78,0.22
vs_passive,passive,disconnect,resource_constrained,200,31.942375000000002,26.20599895833333,37.90822916666667,0.01,0.0,0.025,0.01,0.0,0.025,-0.1292776207484159,-0.14055640015518847,-0.11970124707382865,0.745,0.15
vs_passive,passive,disconnect_shielded,pooled,600,5.313513888888888,1.4065142361111118,9.284300694444443,-0.005,-0.011666666666666667,0.0,-0.005,-0.011666666666666667,0.0,-0.11777546584680793,-0.12441932084589172,-0.11038899195000694,0.485,0.25833333333333336
vs_passive,passive,disconnect_shielded,high_capacity,200,0.12041666666666676,-0.23669166666666658,0.41015000000000007,-0.015,-0.035,0.0,-0.015,-0.035,0.0,-0.0006516019324614496,-0.0015445044029304155,2.1360712060250446e-05,0.44,0.035
vs_passive,passive,disconnect_shielded,intermediate_capacity,200,-2.8672083333333336,-13.105792708333334,7.395153124999986,0.0,0.0,0.0,0.0,0.0,0.0,-0.22733719332182045,-0.24700749604559047,-0.20727175343430465,0.45,0.45
vs_passive,passive,disconnect_shielded,resource_constrained,200,18.687333333333335,12.815832291666664,24.92730729166667,0.0,0.0,0.0,0.0,0.0,0.0,-0.12533760228614194,-0.13232709388348438,-0.11864502647590693,0.565,0.29
shield_effect,disconnect,disconnect_shielded,pooled,600,-68.4258611111111,-73.99145625,-62.96576527777777,-0.13166666666666665,-0.16,-0.105,-0.19333333333333333,-0.22333333333333333,-0.165,0.023233456618102395,0.016274849858475406,0.030669949625598495,0.125,0.7583333333333333
shield_effect,disconnect,disconnect_shielded,high_capacity,200,-126.83537499999998,-136.32304270833333,-117.15964895833334,-0.335,-0.4,-0.275,-0.475,-0.545,-0.405,0.0026951140695701736,0.0016653304934063661,0.003954887318097573,0.0,0.955
shield_effect,disconnect,disconnect_shielded,intermediate_capacity,200,-65.18716666666667,-77.32252708333334,-51.7576729166667,-0.05,-0.095,-0.005,-0.095,-0.145,-0.045,0.06306523732246307,0.04473177293352086,0.08398479088828589,0.24,0.755
shield_effect,disconnect,disconnect_shielded,resource_constrained,200,-13.255041666666665,-18.21239375,-8.527833333333337,-0.01,-0.025,0.0,-0.01,-0.025,0.0,0.003940018462273936,-0.0025391716720942667,0.013689509688784704,0.135,0.565
vs_passive,passive,zone_lockdown,pooled,600,0.7573749999999999,-2.1832715277777774,3.504125347222221,-0.0033333333333333335,-0.008333333333333333,0.0,-0.0016666666666666668,-0.005,0.0,-0.03770535491133785,-0.042391609469446534,-0.03370066885025641,0.18166666666666667,0.31
vs_passive,passive,zone_lockdown,high_capacity,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vs_passive,passive,zone_lockdown,intermediate_capacity,200,-5.482333333333331,-12.599758333333334,1.814662499999997,-0.01,-0.025,0.0,-0.005,-0.015,0.0,-0.07817335544237705,-0.09192856929551783,-0.06596496425897562,0.315,0.48
vs_passive,passive,zone_lockdown,resource_constrained,200,7.754458333333332,3.9225406249999994,11.907259374999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0349427092916365,-0.03853572961253953,-0.031308372170486,0.23,0.45
vs_passive,passive,micro_lockdown_upper_bound,pooled,600,-6.137111111111112,-10.934415624999998,-1.5907427083333354,-0.045,-0.06166666666666667,-0.03,-0.03,-0.043333333333333335,-0.016666666666666666,-0.17420261409970644,-0.18482383945974495,-0.16364173196744405,0.27666666666666667,0.3
vs_passive,passive,micro_lockdown_upper_bound,high_capacity,200,-0.3586666666666667,-0.8767916666666667,0.025678124999999944,-0.005,-0.015,0.0,-0.015,-0.035,0.0,-0.0034612159087317536,-0.005132351634360857,-0.0019844063845348777,0.01,0.07
vs_passive,passive,micro_lockdown_upper_bound,intermediate_capacity,200,-41.232124999999996,-53.34276041666667,-28.728311458333334,-0.125,-0.17,-0.08,-0.07,-0.11,-0.035,-0.3420571776541733,-0.37046933044106056,-0.3137096425337099,0.25,0.555
